Parameter,Run 510 Value,Model,R2,Parameter,Run 309 Value,Model,R2,Parameter,Run 635 Value,Model,R2,Parameter,Run 639 Value,Model,R2,Parameter,Run 618 Value,Model,R2,Parameter,Run 632 Value,Model,R2,Parameter,Run 621 Value,Model,R2,Parameter,Run 627 Value,Model,R2,Parameter,Run 624 Value,Model,R2,Parameter,Run 629 Value,Model,R2,Parameter,Run 512 Value,Model,R2
m,-0.005067975347825227,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,B,0.2207862828403929,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,m,-0.004135777776835601,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,m,-0.008480513954960375,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,m,-0.003733997562364117,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,m,-0.010533316714981911,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,m,-0.005943871005112326,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,m,-0.005888836629259583,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,m,-0.009061244685423844,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,m,-0.009805249792557048,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,m,-0.010039690521069136,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
B,0.36313818465893444,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,m,-0.0005927683838376755,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,B,0.5253298453546349,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,B,0.7607588839963704,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,B,0.42720269401118616,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,B,0.8773975507849655,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,B,0.645105685944798,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,B,0.6896205316910932,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,B,0.8627169883507873,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,B,0.895710428352753,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,B,0.8274845148145662,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
a0,0.6101939720500175,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,a0,0.9999999999999999,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,a0,0.4301810588749073,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,a0,0.25798808622275665,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,a0,0.42243272977444485,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,a0,0.1710975475623023,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,a0,0.223344563155517,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,a0,0.1580776075318348,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,a0,0.08471816170641168,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,a0,0.04453339731475977,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,a0,0.04032490461891623,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
x0,9.222337403043506,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,x0,18.040335144018442,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,x0,16.15384645538777,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,x0,16.482367086145373,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,x0,16.09619351618674,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,x0,16.647734189353,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,x0,16.386563230629626,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,x0,16.381856756557553,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,x0,16.815424721627352,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,x0,17.116237808223623,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,x0,16.118370256410618,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
sigma0,5.148810671452686,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,w0,4.171491239748193,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,sigma0,4.428664102736523,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,sigma0,3.7724640982530064,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,sigma0,5.0080986759846695,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,sigma0,3.1577601380972604,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,sigma0,4.445930212797826,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,sigma0,4.068436950155777,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,sigma0,3.403644176266579,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,sigma0,2.680426755158082,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,sigma0,6.779713127244146,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
a1,0.04309769939532717,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,a1,0.41839793882685317,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,a1,0.343145239443696,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,a1,0.2725207369446848,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,a1,0.34228299932170436,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,a1,0.24402714305524195,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,a1,0.26455727736885826,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,a1,0.2488373911734225,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,a1,0.20728736607554316,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,a1,0.17971371783242285,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,a1,0.22906647667765634,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
x1,21.83234499883532,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,x1,14.630353728048469,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,x1,21.678642623364215,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,x1,21.90702178185306,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,x1,21.788272334483686,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,x1,22.02071542792603,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,x1,21.881912490267794,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,x1,22.00150249471508,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,x1,22.05877451357055,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,x1,22.253490594543045,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,x1,23.99999999937532,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
sigma1,3.1338440552251323,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,w1,1.0436156914583714,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,sigma1,4.21878683630398,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,sigma1,4.592983012193932,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,sigma1,4.976069744357019,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,sigma1,5.371196208401889,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,sigma1,5.87008437138481,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,sigma1,6.927078627936747,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,sigma1,6.740534943214983,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,sigma1,8.21160851014406,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,sigma1,13.970847353940478,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
a2,0.07032859700292993,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,a2,0.38907102675382577,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,a2,0.30901912042246793,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,a2,0.23891746741582515,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,a2,0.3319088929664402,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,a2,0.1953228137358092,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,a2,0.25750104984469085,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,a2,0.25328915792565687,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,a2,0.20664611102804753,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,a2,0.19556029638314051,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,a2,0.22500434578292178,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
x2,32.91869209660695,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,x2,21.82999595024674,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,x2,28.493460761860447,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,x2,28.543293367188475,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,x2,28.00000000000004,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,x2,28.889863703941323,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,x2,28.000000000000004,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,x2,28.041731353894686,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,x2,28.30642932237675,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,x2,28.91249696536558,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,x2,33.999999999169475,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
